pre_rand,0:00:25.762689,287
pre_hill,0:00:23.008207,119
pre_anneal,0:00:23.066769,1189
karmarkar,0:00:00.003385,242009
random,0:00:02.121750,175375243
hill,0:00:00.337961,70951585
anneal,0:00:00.352273,527456709
pre_rand,0:00:25.787008,129
pre_hill,0:00:23.338526,31
pre_anneal,0:00:23.120786,279
karmarkar,0:00:00.003558,35382
random,0:00:02.118866,368992426
hill,0:00:00.337431,372979022
anneal,0:00:00.357064,79062638
pre_rand,0:00:25.763854,44
pre_hill,0:00:23.035184,124
pre_anneal,0:00:21.443132,0
karmarkar,0:00:00.003100,43626
random,0:00:02.143240,57060570
hill,0:00:00.365271,468556384
anneal,0:00:00.381555,19295390
pre_rand,0:00:25.674557,580
pre_hill,0:00:26.381879,192
pre_anneal,0:00:30.693074,386
karmarkar,0:00:00.003181,77840
random,0:00:02.930209,147058214
hill,0:00:00.463424,305619464
anneal,0:00:00.502509,92694418
pre_rand,0:00:36.472194,152
pre_hill,0:00:34.350303,452
pre_anneal,0:00:35.094768,102
karmarkar,0:00:00.002040,485516
random,0:00:03.354162,148780118
hill,0:00:00.614720,89799462
anneal,0:00:00.635354,340888506
pre_rand,0:00:38.841330,172
pre_hill,0:00:33.699593,74
pre_anneal,0:00:33.639413,448
karmarkar,0:00:00.001901,26593
random,0:00:02.380524,54127957
hill,0:00:00.393013,192668587
anneal,0:00:00.449749,290509785
pre_rand,0:00:35.761935,73
pre_hill,0:00:31.950453,99
pre_anneal,0:00:31.986545,315
karmarkar,0:00:00.002429,409369
random,0:00:02.999574,411580359
hill,0:00:00.515617,116831541
anneal,0:00:00.535778,21215917
pre_rand,0:00:34.810196,31
pre_hill,0:00:30.803594,39
pre_anneal,0:00:31.172364,3283
karmarkar,0:00:00.003318,415319
random,0:00:02.988177,180453085
hill,0:00:00.463127,1294398303
anneal,0:00:00.487825,70591475
pre_rand,0:00:34.475978,35
pre_hill,0:00:30.580244,93
pre_anneal,0:00:29.782368,1241
karmarkar,0:00:00.002193,212830
random,0:00:02.621342,565265348
hill,0:00:00.489312,1036481930
anneal,0:00:00.505148,175803316
pre_rand,0:00:34.513220,94
pre_hill,0:00:31.399765,276
pre_anneal,0:00:31.085249,194
karmarkar,0:00:00.002383,96770
random,0:00:02.799392,250180788
hill,0:00:00.433113,20317144
anneal,0:00:00.501916,212781404
pre_rand,0:00:29.326679,458
pre_hill,0:00:24.411867,16
pre_anneal,0:00:23.370636,2116
karmarkar,0:00:00.003185,46438
random,0:00:02.169107,123775148
hill,0:00:00.350744,464648672
anneal,0:00:00.379169,194355930
pre_rand,0:00:26.337475,292
pre_hill,0:00:23.776650,54
pre_anneal,0:00:23.479941,554
karmarkar,0:00:00.002973,45806
random,0:00:02.176627,77471240
hill,0:00:00.345451,153888936
anneal,0:00:00.379110,149761300
pre_rand,0:00:26.216553,442
pre_hill,0:00:23.809793,542
pre_anneal,0:00:23.612956,908
karmarkar,0:00:00.003220,348359
random,0:00:02.177576,390438811
hill,0:00:00.360499,225701157
anneal,0:00:00.366656,106528051
pre_rand,0:00:26.134021,241
pre_hill,0:00:23.319042,57
pre_anneal,0:00:23.593666,1335
karmarkar,0:00:00.003424,102568
random,0:00:02.153312,397949276
hill,0:00:00.357790,198945340
anneal,0:00:00.367605,71195780
pre_rand,0:00:25.993474,62
pre_hill,0:00:23.209292,58
pre_anneal,0:00:23.934097,490
karmarkar,0:00:00.001939,138729
random,0:00:02.130708,454199279
hill,0:00:00.352104,283192999
anneal,0:00:00.408087,920591693
pre_rand,0:00:26.238717,75
pre_hill,0:00:28.364323,109
pre_anneal,0:00:27.547073,603
karmarkar,0:00:00.003301,91710
random,0:00:02.500482,160505346
hill,0:00:00.362956,217655800
anneal,0:00:00.547910,164088204
pre_rand,0:00:27.650871,52
pre_hill,0:00:26.380558,296
pre_anneal,0:00:24.604694,1126
karmarkar,0:00:00.003062,24336
random,0:00:02.272007,35180622
hill,0:00:00.366411,126665170
anneal,0:00:00.399608,408014636
pre_rand,0:00:27.474514,290
pre_hill,0:00:24.450480,320
pre_anneal,0:00:24.792980,2344
karmarkar,0:00:00.003077,8210
random,0:00:02.380415,5431638
hill,0:00:00.371305,592847188
anneal,0:00:00.404289,786961084
pre_rand,0:00:27.984889,56
pre_hill,0:00:25.684194,128
pre_anneal,0:00:25.422451,502
karmarkar,0:00:00.002066,386644
random,0:00:02.366101,37493578
hill,0:00:00.392861,169871534
anneal,0:00:00.423687,59639930
pre_rand,0:00:28.377909,192
pre_hill,0:00:27.172257,392
pre_anneal,0:00:25.837022,2252
karmarkar,0:00:00.003308,70009
random,0:00:02.344595,64940625
hill,0:00:00.412190,1204152543
anneal,0:00:00.392650,756214373
pre_rand,0:00:28.325820,133
pre_hill,0:00:25.278259,41
pre_anneal,0:00:25.511341,1789
karmarkar,0:00:00.003260,605196
random,0:00:02.339093,238060534
hill,0:00:00.378559,726514496
anneal,0:00:00.405228,116123082
pre_rand,0:00:27.818775,146
pre_hill,0:00:24.964409,36
pre_anneal,0:00:25.173163,1028
karmarkar,0:00:00.003403,159890
random,0:00:02.310631,1766450
hill,0:00:00.376490,109804716
anneal,0:00:00.407518,639374886
